iter	RMSE
0	1370133.297
1	1349224.915
2	1323348.988
3	1302710.729
4	1277882.66
5	1260112.404
6	1237934.982
7	1218769.271
8	1196264.177
9	1179025.57
10	1161056.246
11	1143164.99
12	1122615.34
13	1107251.15
14	1087752.625
15	1072029.015
16	1060833.938
17	1045066.433
18	1033798.195
19	1022106.103
20	1007366.342
21	993602.5624
22	981794.1128
23	969546.467
24	955344.4541
25	942871.2889
26	930991.2618
27	920119.8387
28	907944.3015
29	900326.3101
30	896690.8239
31	887116.8239
32	884835.0064
33	876301.689
34	866947.8456
35	861663.5603
36	854259.2865
37	847130.393
38	839987.1631
39	832001.803
40	824001.9761
41	817818.544
42	810228.7047
43	807762.3757
44	804636.0763
45	801926.3928
46	798749.4628
47	792937.5136
48	786714.6634
49	780237.257
50	773752.3959
51	767367.7766
52	761798.686
53	754521.3059
54	752179.5939
55	744374.1074
56	739649.7512
57	736921.8288
58	734618.5286
59	729317.1234
60	720757.8776
61	715763.918
62	710490.371
63	705461.1928
64	702631.6237
65	695851.3843
66	692950.0092
67	688668.7625
68	686561.8451
69	684193.585
70	681827.2959
71	679348.1183
72	677113.8987
73	672492.3732
74	667887.1238
75	665861.1337
76	663921.2691
77	661601.0316
78	657619.7633
79	655561.9101
80	653415.5119
81	650672.9455
82	646403.8173
83	644262.675
84	642278.3907
85	638184.0407
86	635846.6911
87	632244.869
88	630409.0457
89	625827.6633
90	624142.4955
91	622120.7424
92	619260.4125
93	617952.1574
94	615914.2828
95	610795.2068
96	604863.4748
97	600478.5886
98	598920.9222
99	596873.363
100	595151.7928
101	593750.3738
102	588499.3553
103	584549.7295
104	580539.0622
105	579139.5278
106	575604.7273
107	574156.0903
108	572853.1559
109	571063.958
110	569846.0322
111	568467.7674
112	567134.3601
113	565715.8751
114	563310.7123
115	561967.1535
116	556685.4864
117	553470.2656
118	551956.0518
119	550690.0003
120	549499.5068
121	548023.7573
122	546726.4044
123	545778.9576
124	542861.0718
125	541740.6366
126	539572.3793
127	535709.7315
128	534427.1131
129	532790.3345
130	527932.1493
131	525737.0398
132	522651.6457
133	518898.0503
134	517552.3372
135	514341.8733
136	510562.9181
137	506879.3499
138	504790.037
139	501947.3871
140	498699.5841
141	496361.3065
142	495214.0552
143	491903.9455
144	489076.228
145	487547.2509
146	486167.0155
147	485041.7178
148	483067.5923
149	481515.3178
150	478506.4881
151	473946.4934
152	470961.7319
153	469663.8547
154	468487.6926
155	464728.1342
156	462976.1338
157	462014.4737
158	457928.0861
159	455342.313
160	454368.8673
161	453330.3622
162	452225.5247
163	451137.232
164	448475.6675
165	447344.6508
166	445497.9947
167	443915.5551
168	440956.606
169	438024.827
170	436777.7172
171	435674.6721
172	434123.4892
173	432998.4901
174	431844.0565
175	427945.7836
176	425615.8252
177	424496.1123
178	421440.0031
179	419985.5734
180	418974.6726
181	417548.8091
182	416404.1445
183	414934.9521
184	412745.6651
185	411639.0587
186	410223.2456
187	409146.3877
188	407730.3946
189	405832.3122
190	404792.5202
191	402230.9246
192	400626.1666
193	397602.0307
194	396113.5967
195	395177.0917
196	391377.6789
197	390428.0196
198	388346.5135
199	387107.1776
200	386200.5418
201	385286.11
202	384430.927
203	383544.3533
204	382390.1824
205	380550.3957
206	379694.6537
207	378438.7591
208	375220.552
209	374390.8835
210	373585.7284
211	372805.7853
212	371235.5606
213	370514.0182
214	366903.2711
215	364732.7637
216	363968.439
217	363221.0154
218	360851.9587
219	360118.1962
220	358817.4873
221	358095.5371
222	354844.1442
223	354144.1419
224	353451.3854
225	352385.1895
226	351700.3836
227	350187.7279
228	349372.0875
229	348707.8243
230	348047.4868
231	347404.0708
232	346552.238
233	345565.6413
234	344935.4384
235	344317.0957
236	342530.7259
237	341924.8019
238	341323.0664
239	338953.6862
240	338244.6462
241	335158.7429
242	332775.3837
243	332216.5967
244	330837.5351
245	329404.3301
246	328692.5594
247	328071.8352
248	327460.8955
249	326919.4713
250	326327.7567
251	323713.2729
252	323135.7341
253	322549.8575
254	321279.7456
255	320762.4506
256	320218.8272
257	317849.8971
258	317291.3301
259	315259.1047
260	313811.3598
261	312499.2104
262	312009.1207
263	310104.7822
264	308765.9849
265	308289.6857
266	307821.6908
267	306202.2331
268	304928.0772
269	304467.3414
270	304014.6645
271	303567.0133
272	303120.3685
273	302673.5674
274	302233.2395
275	299638.31
276	299211.7422
277	298788.8458
278	296291.9679
279	295878.4723
280	295468.5809
281	295062.3889
282	294662.1333
283	293346.0356
284	291987.5789
285	291587.7292
286	291194.8088
287	290741.9393
288	290355.8386
289	289972.5017
290	289593.5983
291	287930.5674
292	286466.2599
293	286090.794
294	285719.8448
295	284500.6806
296	284133.3942
297	282867.4863
298	282451.5857
299	282090.4115
300	281728.1738
301	281342.4068
302	280991.1035
303	280642.1044
304	280296.0446
305	279952.4592
306	279610.384
307	278339.6357
308	276962.9523
309	275659.9194
310	275320.2678
311	274984.23
312	273984.2281
313	273650.791
314	273319.4706
315	272990.9938
316	272664.5107
317	271482.7367
318	271158.4418
319	270836.7717
320	270517.3597
321	269373.5039
322	269059.3053
323	268744.7902
324	268433.0468
325	268123.3162
326	267816.3024
327	267511.2823
328	267208.8484
329	266908.6909
330	266610.0671
331	266314.0212
332	266019.357
333	265726.4218
334	264162.4513
335	263871.574
336	263583.4119
337	263312.7585
338	261741.7167
339	260610.844
340	260327.9246
341	259356.0262
342	259076.7926
343	258801.6789
344	258527.1913
345	258253.486
346	257981.551
347	257711.649
348	257442.5106
349	257141.6579
350	256874.9383
351	256609.6344
352	255618.3611
353	254834.3515
354	254570.0298
355	254308.5074
356	254046.9213
357	253739.4685
358	253483.3455
359	253226.4439
360	252971.0212
361	251978.0321
362	251697.2602
363	250245.7596
364	249993.6872
365	249743.0421
366	249495.6715
367	249249.6884
368	249005.1778
369	248761.6066
370	248519.7787
371	247705.3663
372	247463.5497
373	247223.3289
374	245920.9986
375	245681.28
376	245440.9481
377	244022.9767
378	243787.3728
379	243550.2002
380	243318.1644
381	243087.4446
382	242707.0142
383	242477.8869
384	242247.778
385	241015.4735
386	240784.962
387	240556.8
388	239824.5251
389	239597.4049
390	239374.538
391	239153.8364
392	238930.7596
393	237997.0273
394	237778.1692
395	237560.9268
396	237341.3203
397	237126.3352
398	235787.1969
399	235572.0122
400	235358.6275
401	235146.3972
402	234465.4576
403	234253.8621
404	233459.223
405	233248.5997
406	233039.6839
407	232831.5966
408	232624.8655
409	232419.1165
410	231648.0235
411	230940.6781
412	230610.124
413	229860.4514
414	229654.0446
415	229449.5754
416	229257.6015
417	229056.081
418	227965.1312
419	227760.4919
420	227560.775
421	227362.5578
422	227161.8105
423	226846.12
424	226649.8795
425	226454.5089
426	225519.5627
427	225324.2722
428	225130.6895
429	224937.9952
430	224746.1397
431	224555.3758
432	224365.2831
433	224172.5745
434	223980.6709
435	223793.0364
436	223606.0708
437	223416.5551
438	222748.4773
439	222562.7478
440	221863.2862
441	221678.1717
442	221219.0406
443	220722.8147
444	220538.1345
445	220354.0677
446	220167.9608
447	219982.7678
448	219759.8549
449	219156.0896
450	218974.6254
451	218801.2019
452	218621.5389
453	218442.5679
454	218264.0275
455	218086.3553
456	217909.5251
457	217595.0973
458	217418.7808
459	217243.4806
460	217065.6155
461	216888.5613
462	216715.2298
463	216539.506
464	215952.579
465	215780.2315
466	215298.573
467	215126.6755
468	214723.2124
469	214549.2231
470	214378.7904
471	214209.5527
472	214040.9863
473	213869.7356
474	213582.5976
475	213414.5479
476	213244.4359
477	213078.1789
478	212909.4197
479	212360.1342
480	212194.4727
481	211733.4419
482	211568.379
483	211404.1834
484	210294.1245
485	210129.5282
486	209962.9183
487	209797.1375
488	209632.7646
489	209472.0686
490	209311.7167
491	209100.7706
492	208939.1193
493	208436.2368
494	208277.3424
495	208119.381
496	207913.4167
497	207756.4488
498	207597.4228
499	206678.3115
500	206319.9069
501	206120.3007
502	205964.3881
503	205809.7859
504	205656.1859
505	205503.0342
506	205350.489
507	205196.0897
508	205042.5209
509	204569.578
510	204418.1075
511	204264.9559
512	204114.7406
513	203962.8423
514	203811.5651
515	203660.8961
516	203510.6689
517	202706.2689
518	202513.1994
519	201656.1403
520	200714.6305
521	199775.633
522	199627.3335
523	198834.3025
524	198686.9323
525	197932.0764
526	197784.2105
527	197638.7455
528	197494.5896
529	197309.8556
530	196546.4895
531	196404.0862
532	196262.5134
533	195474.9711
534	195042.9977
535	194902.2069
536	194762.6738
537	194623.9565
538	194404.0783
539	194266.082
540	194129.0166
541	193695.958
542	193559.5421
543	193203.9458
544	192497.1481
545	192356.9385
546	192221.1008
547	192048.5204
548	191913.9615
549	191780.4362
550	191647.4975
551	191515.1435
552	191389.3168
553	190544.7209
554	190420.7562
555	189746.8026
556	189615.0459
557	189484.232
558	189291.5244
559	189128.4411
560	188999.2995
561	188870.686
562	188743.4263
563	188582.1382
564	188454.7601
565	188296.3828
566	188169.706
567	188044.2437
568	187918.4394
569	187793.7419
570	186621.8563
571	186392.8976
572	186266.6316
573	186071.9638
574	185912.2269
575	185476.5717
576	185352.2428
577	185196.3894
578	185010.7304
579	184830.4861
580	184707.3994
581	184569.4898
582	184434.3607
583	184300.7617
584	184168.6102
585	184003.6202
586	183874.1619
587	183746.1071
588	183625.0575
589	183498.3808
590	183378.2249
591	183258.3864
592	183139.3744
593	183021.0988
594	182648.389
595	182528.9745
596	182410.9308
597	182271.2281
598	181564.2625
599	181446.4418
600	181328.9943
601	181212.1802
602	181097.1041
603	180981.4104
604	180865.9747
605	180374.4492
606	179674.9722
607	179544.7991
608	179430.4433
609	179316.4174
610	179202.6274
611	179075.8929
612	178962.87
613	178850.6591
614	178722.5056
615	178611.039
616	178499.7715
617	178387.9195
618	177353.4312
619	177240.915
620	177110.8619
621	176983.3597
622	176872.7445
623	176762.6559
624	176653.0398
625	176544.0391
626	176435.1141
627	176327.142
628	176218.9457
629	176110.8884
630	176002.9913
631	175869.3966
632	175762.573
633	175656.0138
634	175549.8476
635	175443.2114
636	174608.6519
637	174501.0988
638	173770.7453
639	173662.6962
640	173555.9996
641	173449.8435
642	173344.5233
643	173239.5203
644	173134.6209
645	173030.1385
646	172891.3702
647	172787.524
648	172684.0843
649	172548.7998
650	172445.9485
651	171879.6261
652	171776.8125
653	171674.7887
654	171573.2406
655	171472.0596
656	171371.5152
657	171271.1961
658	170684.9971
659	170584.2319
660	170483.545
661	170384.0012
662	169685.2093
663	169584.7556
664	169485.7495
665	169387.1928
666	169286.9271
667	169174.4601
668	169076.3472
669	168978.6555
670	168881.7891
671	168785.4444
672	168674.3438
673	168578.3008
674	168481.7167
675	167938.4568
676	167840.9388
677	167745.4191
678	167649.5653
679	167555.024
680	167460.8659
681	166899.2924
682	166803.1178
683	166708.0603
684	166611.7602
685	166517.7198
686	166423.8771
687	166335.9958
688	166242.6019
689	166149.4569
690	166056.6801
691	165964.0515
692	165869.8855
693	165764.1104
694	165672.8127
695	165317.3329
696	165223.8944
697	165132.1537
698	165040.5953
699	164949.3326
700	164858.2477
701	164767.3732
702	164658.4883
703	164567.9358
704	164461.2584
705	164370.9225
706	164280.6999
707	163775.4583
708	163043.5148
709	162952.5279
710	162862.4032
711	162475.5675
712	162385.6477
713	162296.3291
714	162207.4728
715	162119.0787
716	162031.4258
717	161943.5691
718	161855.8536
719	161768.2514
720	161680.9386
721	161593.9126
722	161506.9953
723	161420.2708
724	161333.7031
725	161247.3169
726	161161.0015
727	161074.912
728	160988.0058
729	160902.3695
730	160548.1578
731	160462.2759
732	160382.2472
733	160297.0033
734	160212.312
735	160127.917
736	160043.2528
737	159959.1043
738	159862.3329
739	159778.3588
740	159694.1484
741	159610.6721
742	159526.9174
743	159236.1119
744	159152.9009
745	159069.8591
746	158986.7635
747	158903.6326
748	158821.2613
749	158738.431
750	158656.311
751	158573.786
752	158491.4261
753	158409.3301
754	158327.4081
755	158246.1497
756	158164.4613
757	157501.3283
758	157419.2828
759	156772.0614
760	156690.5498
761	156609.6268
762	156528.4988
763	156447.6919
764	156367.254
765	156287.0413
766	156207.0099
767	155814.2863
768	155345.9857
769	155266.2359
770	155187.1031
771	155107.7771
772	154687.0743
773	154607.8643
774	154529.495
775	154450.7218
776	154372.2463
777	154294.0261
778	154216.6684
779	153610.1587
780	153298.4885
781	153220.2026
782	153142.2091
783	153064.6451
784	152987.3619
785	152910.3706
786	152834.2479
787	152757.504
788	152681.0776
789	152399.1433
790	152323.4894
791	152247.5571
792	152171.8179
793	151799.6617
794	151723.7818
795	151648.7638
796	151574.298
797	151499.3832
798	151425.3067
799	151350.7239
800	151102.0472
801	151027.2668
802	150952.9727
803	150865.0218
804	150791.0783
805	150717.2887
806	150643.6588
807	150570.124
808	150496.7154
809	150424.1148
810	150350.9948
811	150278.6552
812	150205.9163
813	150133.3449
814	149750.4148
815	149677.3919
816	149340.396
817	149267.7302
818	149193.9635
819	149121.6431
820	149036.2105
821	148964.1659
822	148892.3331
823	148676.5924
824	148604.8718
825	148109.8562
826	148037.8446
827	147966.1412
828	147611.1108
829	147539.5161
830	147468.1927
831	147397.0939
832	147326.6537
833	147256.4417
834	147184.9392
835	147115.2356
836	147032.435
837	146447.4022
838	146377.445
839	146106.1552
840	145760.9221
841	145690.5163
842	145621.165
843	145551.3932
844	145481.8938
845	145412.5609
846	145343.3697
847	145274.3536
848	145205.5211
849	144956.3118
850	144887.4889
851	144527.064
852	144458.1779
853	143938.7856
854	143870.0464
855	143656.5472
856	143368.0515
857	143300.2597
858	142970.9744
859	142902.6509
860	142834.354
861	142766.4265
862	142698.7428
863	142258.8497
864	142191.3023
865	142124.0685
866	142055.8734
867	141983.2833
868	141916.7792
869	141849.2173
870	141783.1766
871	141717.509
872	141650.634
873	141585.1433
874	141519.8189
875	140998.0711
876	140932.4136
877	140867.1596
878	140802.1355
879	140437.1431
880	140372.0311
881	140183.2984
882	139882.6638
883	139669.1024
884	139603.6433
885	139539.1137
886	139474.9794
887	139081.1972
888	139017.0803
889	138953.2769
890	138523.3272
891	138459.5676
892	138396.1623
893	138209.3622
894	138144.8945
895	138081.791
896	138018.9686
897	137714.8507
898	137650.8137
899	137588.3732
900	137525.0006
901	137462.9692
902	137395.4109
903	137067.8092
904	137005.7722
905	136943.0737
906	136881.4723
907	136819.9975
908	136758.6789
909	136368.1202
910	136305.0791
911	136243.7292
912	136182.6465
913	135879.789
914	135819.2599
915	135757.4848
916	135696.8916
917	135636.3203
918	135575.8498
919	135515.4821
920	135455.4007
921	135395.5029
922	135335.7732
923	135276.1262
924	135216.5508
925	134976.4566
926	134916.73
927	134857.197
928	134796.7611
929	134737.6549
930	134678.6834
931	134438.9571
932	134379.833
933	134321.0268
934	134261.4796
935	134202.018
936	134143.5213
937	133874.9875
938	133816.5356
939	133632.6463
940	133572.8647
941	133514.4609
942	133456.2428
943	133398.2943
944	133340.5406
945	133282.9359
946	133225.4847
947	132878.899
948	132821.3721
949	132764.9687
950	132707.8417
951	132650.8802
952	132594.1086
953	132537.421
954	132273.945
955	132036.407
956	131978.441
957	131921.6109
958	131866.0359
959	131809.6149
960	131753.5083
961	131696.6554
962	131639.8532
963	131583.1433
964	131377.9166
965	131321.3171
966	131265.0226
967	131208.8888
968	130750.334
969	130561.0271
970	130394.616
971	130338.5246
972	130059.5008
973	129641.9568
974	129585.7896
975	129284.9736
976	128992.4323
977	128935.8866
978	128879.1926
979	128823.7593
980	128646.6574
981	128591.7984
982	128097.5436
983	128042.8823
984	127987.8211
985	127933.8251
986	127879.1944
987	127825.693
988	127771.5292
989	127536.9517
990	127482.7874
991	127429.5581
992	127226.5525
993	127062.3149
994	127009.2002
995	126858.9459
996	126806.13
997	126753.4994
998	126700.1269
999	126642.6824
