iter	Passed	Remaining
0	6	6571
1	15	7576
2	22	7418
3	31	7844
4	38	7710
5	47	7805
6	53	7576
7	60	7562
8	68	7499
9	73	7318
10	80	7198
11	87	7185
12	93	7094
13	99	6985
14	105	6896
15	112	6931
16	118	6865
17	125	6845
18	133	6876
19	139	6839
20	146	6851
21	151	6739
22	158	6750
23	165	6740
24	172	6715
25	180	6748
26	186	6718
27	194	6748
28	200	6721
29	207	6711
30	213	6682
31	220	6655
32	223	6562
33	231	6573
34	237	6557
35	244	6545
36	250	6520
37	257	6512
38	263	6495
39	270	6483
40	276	6474
41	283	6456
42	289	6448
43	298	6483
44	305	6489
45	311	6467
46	318	6457
47	325	6445
48	331	6434
49	338	6427
50	346	6441
51	352	6427
52	359	6415
53	365	6398
54	373	6419
55	380	6411
56	388	6421
57	395	6424
58	402	6417
59	410	6428
60	416	6410
61	421	6376
62	428	6368
63	435	6362
64	442	6367
65	449	6354
66	457	6368
67	463	6353
68	471	6368
69	478	6357
70	486	6361
71	493	6357
72	499	6346
73	507	6351
74	514	6347
75	521	6344
76	528	6329
77	535	6335
78	542	6329
79	550	6325
80	557	6327
81	563	6310
82	571	6313
83	577	6300
84	586	6317
85	592	6301
86	599	6290
87	606	6287
88	613	6278
89	621	6284
90	627	6271
91	635	6274
92	642	6261
93	650	6266
94	656	6255
95	663	6246
96	670	6241
97	676	6226
98	684	6229
99	691	6219
100	697	6208
101	703	6193
102	709	6179
103	716	6172
104	723	6164
105	730	6158
106	735	6136
107	741	6121
108	747	6110
109	753	6100
110	760	6089
111	768	6090
112	774	6078
113	781	6070
114	787	6057
115	793	6048
116	801	6049
117	808	6040
118	816	6043
119	822	6033
120	831	6040
121	838	6031
122	845	6025
123	852	6023
124	858	6010
125	866	6010
126	872	6000
127	881	6003
128	887	5992
129	894	5986
130	901	5977
131	907	5966
132	915	5966
133	923	5967
134	930	5965
135	936	5952
136	944	5950
137	951	5941
138	957	5930
139	965	5929
140	972	5921
141	981	5928
142	987	5917
143	996	5922
144	1002	5910
145	1009	5902
146	1015	5894
147	1021	5882
148	1029	5879
149	1035	5869
150	1044	5870
151	1050	5862
152	1057	5855
153	1066	5857
154	1079	5887
155	1086	5876
156	1094	5875
157	1100	5864
158	1107	5858
159	1115	5853
160	1121	5842
161	1129	5840
162	1135	5829
163	1143	5831
164	1150	5819
165	1157	5816
166	1163	5804
167	1169	5794
168	1176	5783
169	1182	5775
170	1190	5771
171	1196	5760
172	1203	5751
173	1210	5744
174	1216	5735
175	1225	5735
176	1231	5728
177	1239	5723
178	1245	5713
179	1252	5705
180	1260	5702
181	1266	5691
182	1273	5687
183	1280	5676
184	1287	5670
185	1295	5668
186	1301	5659
187	1309	5654
188	1315	5644
189	1324	5645
190	1330	5634
191	1338	5633
192	1345	5626
193	1353	5623
194	1360	5616
195	1367	5608
196	1390	5667
197	1397	5658
198	1404	5653
199	1411	5644
200	1418	5637
201	1425	5630
202	1431	5620
203	1437	5609
204	1444	5601
205	1453	5601
206	1459	5592
207	1466	5584
208	1473	5575
209	1479	5564
210	1487	5563
211	1493	5552
212	1500	5543
213	1506	5533
214	1512	5523
215	1519	5514
216	1525	5505
217	1532	5497
218	1539	5490
219	1545	5481
220	1553	5477
221	1560	5467
222	1566	5458
223	1572	5447
224	1578	5437
225	1585	5429
226	1591	5420
227	1599	5415
228	1605	5406
229	1612	5398
230	1618	5388
231	1624	5379
232	1631	5369
233	1637	5359
234	1643	5350
235	1649	5340
236	1656	5332
237	1662	5324
238	1669	5316
239	1675	5307
240	1682	5298
241	1689	5291
242	1696	5284
243	1702	5275
244	1708	5265
245	1715	5256
246	1723	5254
247	1732	5252
248	1738	5243
249	1744	5234
250	1750	5224
251	1756	5214
252	1762	5204
253	1768	5195
254	1774	5185
255	1781	5176
256	1786	5166
257	1793	5157
258	1799	5148
259	1805	5139
260	1812	5131
261	1818	5122
262	1824	5113
263	1831	5105
264	1837	5097
265	1844	5090
266	1851	5081
267	1857	5074
268	1864	5065
269	1870	5057
270	1877	5050
271	1883	5041
272	1889	5032
273	1896	5024
274	1902	5016
275	1909	5008
276	1916	5002
277	1922	4993
278	1928	4984
279	1935	4977
280	1942	4970
281	1949	4962
282	1955	4954
283	1961	4946
284	1968	4937
285	1974	4929
286	1980	4921
287	1986	4911
288	1993	4904
289	2000	4896
290	2006	4888
291	2012	4879
292	2019	4872
293	2026	4866
294	2032	4857
295	2040	4853
296	2047	4845
297	2053	4836
298	2060	4829
299	2066	4820
300	2072	4812
301	2078	4804
302	2085	4796
303	2091	4789
304	2097	4780
305	2103	4771
306	2110	4764
307	2116	4756
308	2123	4748
309	2130	4741
310	2136	4732
311	2142	4724
312	2149	4717
313	2155	4709
314	2162	4701
315	2168	4693
316	2175	4687
317	2181	4679
318	2189	4673
319	2196	4667
320	2202	4659
321	2209	4652
322	2215	4643
323	2222	4636
324	2228	4628
325	2234	4620
326	2241	4613
327	2247	4604
328	2254	4597
329	2260	4589
330	2266	4581
331	2273	4573
332	2279	4565
333	2286	4558
334	2292	4550
335	2298	4542
336	2305	4535
337	2311	4527
338	2318	4520
339	2324	4512
340	2330	4504
341	2337	4496
342	2343	4489
343	2350	4481
344	2356	4474
345	2363	4467
346	2369	4459
347	2376	4452
348	2382	4443
349	2388	4435
350	2393	4426
351	2399	4418
352	2406	4410
353	2412	4402
354	2418	4394
355	2424	4385
356	2430	4377
357	2436	4369
358	2442	4361
359	2448	4353
360	2454	4344
361	2460	4336
362	2467	4330
363	2473	4321
364	2479	4314
365	2486	4306
366	2493	4300
367	2499	4293
368	2505	4284
369	2511	4276
370	2518	4269
371	2523	4260
372	2530	4253
373	2536	4245
374	2542	4237
375	2548	4229
376	2554	4221
377	2560	4213
378	2568	4209
379	2574	4201
380	2581	4194
381	2588	4187
382	2594	4179
383	2600	4171
384	2606	4164
385	2613	4157
386	2620	4151
387	2626	4143
388	2632	4135
389	2638	4127
390	2645	4120
391	2652	4113
392	2658	4106
393	2668	4105
394	2675	4098
395	2682	4092
396	2688	4084
397	2695	4076
398	2701	4068
399	2707	4061
400	2713	4054
401	2720	4046
402	2727	4040
403	2733	4032
404	2739	4024
405	2746	4017
406	2767	4032
407	2774	4026
408	2784	4023
409	2792	4018
410	2802	4015
411	2807	4007
412	2815	4001
413	2821	3993
414	2827	3986
415	2834	3979
416	2840	3971
417	2849	3967
418	2855	3959
419	2861	3952
420	2870	3947
421	2877	3941
422	2885	3935
423	2891	3928
424	2899	3923
425	2905	3915
426	2929	3931
427	2936	3924
428	2944	3919
429	2952	3913
430	2959	3906
431	2983	3922
432	2995	3922
433	3004	3917
434	3013	3914
435	3019	3906
436	3026	3899
437	3035	3894
438	3049	3896
439	3055	3888
440	3064	3885
441	3071	3877
442	3077	3869
443	3083	3861
444	3090	3854
445	3097	3847
446	3104	3840
447	3110	3832
448	3116	3824
449	3123	3817
450	3129	3809
451	3135	3801
452	3141	3793
453	3148	3785
454	3154	3778
455	3160	3770
456	3167	3763
457	3174	3756
458	3180	3749
459	3186	3741
460	3193	3733
461	3199	3726
462	3206	3718
463	3212	3710
464	3219	3703
465	3225	3696
466	3232	3688
467	3238	3681
468	3244	3673
469	3251	3666
470	3258	3659
471	3264	3651
472	3270	3644
473	3276	3636
474	3283	3628
475	3289	3621
476	3296	3613
477	3302	3606
478	3309	3599
479	3316	3592
480	3322	3585
481	3328	3577
482	3334	3569
483	3341	3562
484	3347	3554
485	3354	3548
486	3361	3540
487	3367	3533
488	3374	3525
489	3380	3518
490	3386	3510
491	3392	3502
492	3398	3494
493	3405	3488
494	3412	3481
495	3419	3474
496	3426	3467
497	3432	3460
498	3438	3452
499	3445	3445
500	3451	3437
501	3457	3429
502	3464	3423
503	3471	3416
504	3477	3409
505	3484	3401
506	3490	3393
507	3496	3386
508	3502	3378
509	3508	3371
510	3514	3363
511	3521	3356
512	3527	3348
513	3533	3340
514	3539	3333
515	3545	3325
516	3552	3318
517	3558	3311
518	3564	3303
519	3570	3296
520	3577	3288
521	3583	3281
522	3589	3273
523	3595	3266
524	3601	3258
525	3608	3251
526	3613	3243
527	3620	3236
528	3626	3228
529	3632	3221
530	3638	3213
531	3644	3206
532	3650	3198
533	3656	3190
534	3662	3183
535	3667	3175
536	3673	3167
537	3679	3159
538	3684	3151
539	3690	3143
540	3696	3136
541	3702	3128
542	3707	3120
543	3713	3112
544	3719	3104
545	3724	3097
546	3730	3089
547	3736	3081
548	3742	3074
549	3747	3066
550	3753	3058
551	3759	3050
552	3764	3043
553	3770	3035
554	3777	3028
555	3782	3020
556	3788	3013
557	3794	3005
558	3799	2997
559	3805	2990
560	3811	2982
561	3817	2974
562	3822	2967
563	3828	2959
564	3834	2952
565	3840	2944
566	3845	2936
567	3851	2929
568	3857	2921
569	3862	2914
570	3868	2906
571	3874	2899
572	3880	2891
573	3886	2884
574	3891	2876
575	3898	2869
576	3903	2861
577	3909	2854
578	3914	2846
579	3920	2838
580	3926	2831
581	3932	2824
582	3938	2816
583	3943	2809
584	3949	2801
585	3954	2794
586	3960	2786
587	3966	2779
588	3971	2771
589	3977	2764
590	3983	2756
591	3989	2749
592	3994	2741
593	4000	2734
594	4006	2726
595	4013	2720
596	4019	2713
597	4025	2705
598	4031	2698
599	4036	2691
600	4042	2683
601	4047	2676
602	4053	2668
603	4059	2661
604	4065	2654
605	4071	2647
606	4077	2640
607	4083	2632
608	4089	2625
609	4094	2618
610	4100	2610
611	4106	2603
612	4111	2595
613	4117	2588
614	4123	2581
615	4129	2574
616	4134	2566
617	4140	2559
618	4146	2552
619	4152	2544
620	4157	2537
621	4163	2530
622	4169	2522
623	4174	2515
624	4180	2508
625	4186	2501
626	4192	2493
627	4197	2486
628	4203	2479
629	4209	2472
630	4215	2465
631	4221	2457
632	4227	2450
633	4233	2443
634	4239	2436
635	4244	2429
636	4250	2422
637	4256	2415
638	4262	2408
639	4268	2400
640	4273	2393
641	4280	2386
642	4285	2379
643	4291	2372
644	4297	2365
645	4302	2357
646	4308	2350
647	4313	2343
648	4319	2336
649	4325	2329
650	4331	2321
651	4337	2314
652	4342	2307
653	4348	2300
654	4354	2293
655	4360	2286
656	4366	2279
657	4372	2272
658	4377	2265
659	4383	2258
660	4389	2251
661	4394	2243
662	4400	2236
663	4406	2229
664	4412	2222
665	4418	2215
666	4424	2208
667	4430	2201
668	4436	2194
669	4442	2187
670	4447	2180
671	4453	2173
672	4459	2166
673	4465	2159
674	4470	2152
675	4476	2145
676	4482	2138
677	4488	2131
678	4494	2124
679	4500	2117
680	4505	2110
681	4511	2103
682	4517	2096
683	4523	2089
684	4529	2082
685	4535	2075
686	4541	2068
687	4546	2061
688	4552	2054
689	4558	2047
690	4563	2040
691	4569	2033
692	4575	2027
693	4581	2020
694	4587	2013
695	4593	2006
696	4599	1999
697	4605	1992
698	4611	1985
699	4618	1979
700	4624	1972
701	4630	1965
702	4637	1959
703	4643	1952
704	4649	1945
705	4655	1938
706	4661	1931
707	4667	1925
708	4673	1918
