iter	RMSE
0	41709.1324
1	40361.46735
2	39098.64064
3	37909.77404
4	36768.98417
5	35671.65378
6	34593.25835
7	33593.83959
8	32611.35066
9	31671.52049
10	30690.05011
11	29804.88152
12	28966.70835
13	28146.59757
14	27388.01411
15	26659.17533
16	25984.4982
17	25337.80746
18	24652.43321
19	23999.65279
20	23332.06494
21	22772.91007
22	22204.33179
23	21596.0442
24	21048.97899
25	20556.18512
26	20095.87145
27	19580.9714
28	19096.33765
29	18637.45742
30	18223.31988
31	17773.22804
32	17359.97198
33	16967.42937
34	16581.47638
35	16184.07177
36	15876.56263
37	15529.33032
38	15262.20078
39	14905.72334
40	14579.35968
41	14255.53999
42	13934.26266
43	13634.90398
44	13368.2827
45	13074.43429
46	12797.25222
47	12531.45821
48	12312.85915
49	12075.42364
50	11840.91024
51	11602.71023
52	11389.1057
53	11206.69228
54	11025.01171
55	10819.48477
56	10659.00263
57	10469.16929
58	10278.78976
59	10103.44771
60	9955.597703
61	9787.505065
62	9614.070528
63	9449.703868
64	9287.956026
65	9127.244219
66	8983.051028
67	8842.829289
68	8698.042553
69	8574.354836
70	8446.378417
71	8313.133184
72	8181.491362
73	8056.858963
74	7934.455221
75	7820.058724
76	7696.301945
77	7579.815845
78	7474.933237
79	7361.172176
80	7257.156983
81	7154.553211
82	7054.470846
83	6962.055472
84	6866.494133
85	6780.523886
86	6694.802394
87	6610.942285
88	6530.670405
89	6431.050842
90	6336.467611
91	6246.615013
92	6160.417217
93	6087.147429
94	6011.840622
95	5940.343285
96	5860.426568
97	5788.993877
98	5722.26892
99	5651.862689
100	5607.76073
101	5536.438238
102	5465.466078
103	5419.902247
104	5384.701794
105	5341.773215
106	5279.964609
107	5221.669513
108	5178.668929
109	5113.926567
110	5050.148801
111	4998.329452
112	4939.185446
113	4879.411294
114	4840.065298
115	4804.8638
116	4750.414296
117	4716.32222
118	4668.719418
119	4633.254632
120	4583.413689
121	4547.62127
122	4514.304586
123	4481.427705
124	4448.60469
125	4412.262333
126	4362.249815
127	4318.063764
128	4275.580832
129	4235.317928
130	4203.624175
131	4178.481862
132	4147.744563
133	4119.132257
134	4087.934029
135	4060.224983
136	4031.336938
137	4002.885756
138	3975.982777
139	3951.200033
140	3925.386261
141	3902.381102
142	3876.305578
143	3850.342407
144	3827.946214
145	3800.43684
146	3771.330053
147	3745.125573
148	3724.148672
149	3701.865123
150	3672.832365
151	3651.690554
152	3618.826817
153	3598.818352
154	3575.905341
155	3555.86646
156	3537.118749
157	3500.535767
158	3479.989107
159	3461.606461
160	3433.663271
161	3420.86618
162	3393.342493
163	3372.570791
164	3351.991176
165	3328.567228
166	3291.631693
167	3269.098145
168	3243.306102
169	3215.315497
170	3190.174
171	3172.276706
172	3134.94405
173	3113.907905
174	3093.797473
175	3061.347334
176	3044.796271
177	3025.55628
178	3011.128138
179	2997.583278
180	2980.717285
181	2966.018327
182	2950.649202
183	2919.664759
184	2903.888707
185	2886.73643
186	2867.444779
187	2849.067015
188	2823.526448
189	2806.601317
190	2769.483813
191	2737.939254
192	2703.727128
193	2689.04993
194	2661.873656
195	2649.279297
196	2633.880978
197	2607.676234
198	2581.53043
199	2565.126424
200	2549.174273
201	2536.756417
202	2524.371463
203	2502.477439
204	2476.169408
205	2463.567947
206	2436.015162
207	2408.966652
208	2384.542867
209	2373.378395
210	2361.704536
211	2346.199002
212	2335.740062
213	2323.154614
214	2301.196918
215	2273.206741
216	2253.880487
217	2225.794256
218	2214.418584
219	2204.601299
220	2196.409168
221	2188.742682
222	2181.916248
223	2174.588288
224	2161.223361
225	2143.649307
226	2135.90186
227	2114.27019
228	2105.137865
229	2095.92935
230	2087.252203
231	2076.542439
232	2061.358226
233	2043.902942
234	2035.684034
235	2027.07787
236	2017.823503
237	2009.467327
238	1989.917992
239	1975.061784
240	1966.864169
241	1959.00265
242	1943.056715
243	1919.177972
244	1901.401188
245	1893.880883
246	1882.779699
247	1865.950131
248	1858.042725
249	1849.765539
250	1843.131868
251	1829.1074
252	1812.991291
253	1806.65552
